NDC/SKU,Manufacturer,Name,Lot number,Quantity ordered,Quantity in stock,Cost,Price,Expiration date,Generic for,Created on
"29300-0421-01","Unichem Pharmaceuticals (USA), Inc.","AMITRIPTYLINE HYDROCHLORIDE 50mg/1","GITH24008","200","200","0.04","0.044","01/2026","","05/30/2024 1:06 PM"
"29300-0421-01","Unichem Pharmaceuticals (USA), Inc.","AMITRIPTYLINE HYDROCHLORIDE 50mg/1","GITH24008","400","400","0.04","0.044","01/2026","","05/31/2024 11:20 AM"
"29300-0422-01","Unichem Pharmaceuticals (USA), Inc.","AMITRIPTYLINE HYDROCHLORIDE 75mg/1","GITV23010","400","240","0.092","0.101","01/2025","","05/31/2024 11:24 AM"
"67877-0199-90","Ascend Laboratories, LLC","AMLODIPINE BESYLATE 10mg/1","AM1023028A","360","67","0.024","0.026","11/2026","","08/08/2024 11:12 AM"
"69097-0128-05","Cipla USA Inc.","AMLODIPINE BESYLATE 10mg/1","4PB0044","270","180","0.022","0.024","11/2025","","08/23/2024 10:47 AM"
"67877-0197-90","Ascend Laboratories, LLC","AMLODIPINE BESYLATE 2.5mg/1","23143833","360","360","0.014","0.015","09/2026","","04/24/2024 10:40 AM"
"29300-0397-19","Unichem Pharmaceuticals (USA), Inc.","AMLODIPINE BESYLATE 5mg/1","GMWM24022A","540","150","0.016","0.018","12/2026","","07/01/2024 10:52 AM"
"60432-0065-00","Morton Grove Pharmaceuticals, Inc.","AMOXICILLIN; CLAVULANATE POTASSIUM 250mg/5mL; 62.5mg/5mL - 100 mL in 1 BOTTLE, PLASTIC (60432-065-00) ","KH20104","2","2","23.2","25.52","09/2024","","05/15/2023 4:35 PM"
"00143-9853-75","Hikma Pharmaceuticals USA Inc.","AMOXICILLIN; CLAVULANATE POTASSIUM 600mg/5mL; 42.9mg/5mL","BD379A","2","2","15.24","16.764","01/2025","","04/15/2024 11:54 AM"
"81964-0203-69","USAntibiotics, LLC","AMOXICILLIN; CLAVULANATE POTASSIUM 600mg/5mL; 42.9mg/5mL","USA3041","3","3","9.5","10.45","05/2025","","05/28/2024 11:34 AM"
"42571-0162-01","Micro Labs Limited","AMOXICILLIN; CLAVULANATE POTASSIUM 875mg/1; 125mg/1","ACCUV0582","200","110","0.21","0.231","08/2025","","05/06/2024 10:46 AM"
"00093-2267-01","Teva Pharmaceuticals USA, Inc.","AMOXICILLIN 125mg/1","100048710","100","100","0.189","0.208","08/2025","","11/16/2023 10:07 AM"
"00093-4155-80","Teva Pharmaceuticals USA, Inc.","AMOXICILLIN 250mg/5mL - 150 mL in 1 BOTTLE (0093-4155-80) ","100041309","4","1","5.06","5.566","02/2025","","04/05/2023 10:48 AM"
"00093-4155-80","Teva Pharmaceuticals USA, Inc.","AMOXICILLIN 250mg/5mL - 150 mL in 1 BOTTLE (0093-4155-80) ","10055785839416","3","3","4.42","4.862","08/2025","","01/31/2024 10:23 AM"
"00143-9887-01","Hikma Pharmaceuticals USA Inc.","AMOXICILLIN 400mg/5mL - 100 mL in 1 BOTTLE (0143-9887-01) ","AS3897A","3","1","6.77","7.447","06/2026","","04/03/2024 10:20 AM"
"00143-9887-50","Hikma Pharmaceuticals USA Inc.","AMOXICILLIN 400mg/5mL - 50 mL in 1 BOTTLE (0143-9887-50) ","AS3849A","3","2","3.66","4.026","05/2026","","12/28/2023 12:28 PM"
"65862-0071-75","Aurobindo Pharma Limited","AMOXICILLIN 400mg/5mL - 75 mL in 1 BOTTLE (65862-071-75) ","FH4023258A","3","2","5.39","5.929","07/2025","","04/03/2024 10:23 AM"
"00093-4161-76","Teva Pharmaceuticals USA, Inc.","AMOXICILLIN 400mg/5mL - 50 mL in 1 BOTTLE (0093-4161-76) ","100052327","2","2","2.2","2.42","11/2025","","05/30/2024 1:02 PM"
"00093-4161-73","Teva Pharmaceuticals USA, Inc.","AMOXICILLIN 400mg/5mL - 100 mL in 1 BOTTLE (0093-4161-73) ","100055296","3","3","6.21","6.831","03/2026","","05/30/2024 1:04 PM"
"65862-0071-75","Aurobindo Pharma Limited","AMOXICILLIN 400mg/5mL - 75 mL in 1 BOTTLE (65862-071-75) ","FH4023254A","2","2","3.83","4.213","07/2025","","08/07/2024 11:19 AM"
"57237-0031-01","Rising Pharma Holdings, Inc.","AMOXICILLIN 500mg/1","FT5022040C","100","3","0.062","0.068","01/2025","","08/08/2023 12:30 PM"
"57237-0028-01","Rising Pharma Holdings, Inc.","AMOXICILLIN 500mg/1","SE5023010A","200","192","0.144","0.158","01/2026","","09/08/2023 12:23 PM"
"57237-0029-01","Rising Pharma Holdings, Inc.","AMOXICILLIN 875mg/1","SE8722116A","100","66","0.336","0.37","10/2025","","02/01/2024 3:00 PM"
"65862-0015-01","Aurobindo Pharma Limited","AMOXICILLIN 875mg/1","SE8724017A","100","86","0.253","0.278","01/2027","","05/30/2024 1:05 PM"
"02AL","Aircast","Ankle Brace, Large, Left","417361","1","1","0","0","12/2999","","09/21/2023 11:59 AM"
"02AL","Aircast","Ankle Brace, Large, Left","419128","1","1","0","0","12/2999","","09/21/2023 11:59 AM"
"1020614","DeRoyal","Ankle Splint, Canvas Lace Adjustment, Medium","48844350","1","1","0","0","01/2999","","08/16/2023 9:45 AM"
"1020614","DeRoyal","Ankle Splint, Canvas Lace Adjustment, Medium","49908722","3","3","0","0","01/2999","","08/16/2023 9:45 AM"
"1010614","DeRoyal","Ankle Splint, Canvas Lace Adjustment, Small","50846055","2","2","0","0","01/2999","","08/16/2023 9:41 AM"
"8761-03","DeRoyal","Ankle Splint, White Canvas Adjustable Laces, Large","44377977","3","3","0","0","01/2999","","08/16/2023 9:48 AM"
"8761-03","DeRoyal","Ankle Splint, White Canvas Adjustable Laces, Large","44333755","1","1","0","0","01/2999","","08/16/2023 9:48 AM"
"8761-03","DeRoyal","Ankle Splint, White Canvas Adjustable Laces, Large","4788972","4","4","0","0","12/2999","","09/21/2023 11:58 AM"
"8761-01","DeRoyal","Ankle Splint, White Canvas Adjustable Laces, Small","48242560","9","9","0","0","01/2999","","08/16/2023 9:39 AM"
"8761-01","DeRoyal","Ankle Splint, White Canvas Adjustable Laces, Small","45061915","2","2","0","0","12/2999","","09/21/2023 11:56 AM"
"8761-01","DeRoyal","Ankle Splint, White Canvas Adjustable Laces, Small","44921522","2","2","0","0","12/2999","","09/21/2023 11:57 AM"
"8761-02","DeRoyal","Ankle Splint, White Canvas Lace Adjustable Laces, Medium","45176333","2","2","0","0","01/2999","","08/16/2023 9:46 AM"
"8761-02","DeRoyal","Ankle Splint, White Canvas Lace Adjustable Laces, Medium","45082118","3","3","0","0","01/2999","","08/16/2023 9:47 AM"
"1030614","DeRoyal","Ankle Split, Canvas Lace Adjustment, Large","51024918","1","1","0","0","01/2999","","08/16/2023 9:50 AM"
"1030614","DeRoyal","Ankle Split, Canvas Lace Adjustment, Large","48140803","1","1","0","0","01/2999","","08/16/2023 9:50 AM"
"1040614","DeRoyal","Ankle Split, Canvas Lace Adjustment, XL","47458238","1","1","0","0","01/2999","","08/16/2023 9:49 AM"
"8761-04","DeRoyal","Ankle Split, White Canvas Adjustable Laces, XL","43176971","2","2","0","0","01/2999","","08/16/2023 9:51 AM"
"8761-04","DeRoyal","Ankle Split, White Canvas Adjustable Laces, XL","40221895","1","1","0","0","01/2999","","08/16/2023 9:52 AM"
"8761-04","DeRoyal","Ankle Split, White Canvas Adjustable Laces, XL","38642455","1","1","0","0","01/2999","","08/16/2023 9:52 AM"
"8761-04","DeRoyal","Ankle Split, White Canvas Adjustable Laces, XL","4788972","3","3","0","0","12/2999","","09/21/2023 12:00 PM"
"1172PP","PremierPro","Ankle Stirrup, Air, 10in, Standard","51016758","1","1","0","0","01/2999","","08/16/2023 9:32 AM"
"A112050","DeRoyal","Arm Sling, Canvas, Universal","47752947","1","1","0","0","01/2999","","08/16/2023 11:02 AM"
"A112050","DeRoyal","Arm Sling, Canvas, Universal","47662546","1","1","0","0","01/2999","","08/16/2023 11:02 AM"
"A112050","DeRoyal","Arm Sling, Canvas, Universal","47487282","1","1","0","0","01/2999","","08/16/2023 11:05 AM"
"50804-0880-01","GOODSENSE","ASPIRIN 81mg/1","P155612","480","240","0.016","0.018","07/2026","","03/27/2024 10:16 AM"
"55111-0520-30","Dr. Reddy's Laboratories Limited","ATOMOXETINE HYDROCHLORIDE 18mg/1","c2400147","180","120","0.487","0.536","11/2026","","05/15/2024 10:37 AM"
"55111-0520-30","Dr. Reddy's Laboratories Limited","ATOMOXETINE HYDROCHLORIDE 18mg/1","C2400148","120","120","0.362","0.398","11/2026","","06/27/2024 4:51 PM"
"67877-0511-90","Ascend Laboratories, LLC","ATORVASTATIN CALCIUM TRIHYDRATE 10mg/1","23143572","180","90","0.026","0.029","09/2025","","05/20/2024 2:37 PM"
"31722-0424-90","Camber Pharmaceuticals, Inc.","ATORVASTATIN CALCIUM TRIHYDRATE 10mg/1","OA233528","540","540","0.026","0.029","11/2025","","07/30/2024 4:37 PM"
"70377-0078-11","Biocon Pharma Inc.","ATORVASTATIN CALCIUM TRIHYDRATE 20mg/1","AVB23004","540","300","0.036","0.04","11/2025","","04/03/2024 10:16 AM"
"72205-0024-90","Novadoz Pharmaceuticals LLC","ATORVASTATIN CALCIUM TRIHYDRATE 40mg/1","DRD11157A","540","360","0.051","0.056","10/2026","","07/18/2024 11:26 AM"
"67877-0514-90","Ascend Laboratories, LLC","ATORVASTATIN CALCIUM TRIHYDRATE 80mg/1","23144103","180","180","0.067","0.074","10/2025","","03/13/2024 11:13 AM"
"67877-0514-90","Ascend Laboratories, LLC","ATORVASTATIN CALCIUM TRIHYDRATE 80mg/1","24140392","360","360","0.076","0.084","12/2025","","07/18/2024 10:51 AM"
"51224-0022-18","TAGI Pharma, Inc.","AZITHROMYCIN DIHYDRATE 250mg/1","4242307041","15","14","1.277","1.405","07/2026","","08/23/2024 10:21 AM"
"00093-2026-23","Teva Pharmaceuticals USA, Inc.","AZITHROMYCIN MONOHYDRATE 200mg/5mL - 15 mL in 1 BOTTLE (0093-2026-23) ","8018122","4","1","2.46","2.706","11/2024","","09/27/2023 3:09 PM"
"70710-1458-02","Zydus Pharmaceuticals USA Inc.","AZITHROMYCIN DIHYDRATE 200mg/5mL - 1 BOTTLE in 1 CARTON (70710-1458-2) / 15 mL in 1 BOTTLE","Z306423","8","8","3.31","3.641","11/2026","","08/23/2024 10:40 AM"
"50111-0788-10","Teva Pharmaceuticals USA, Inc.","AZITHROMYCIN MONOHYDRATE 500mg/1","8206013","30","18","0.394","0.433","01/2025","","03/13/2024 10:29 AM"
"50111-0788-10","Teva Pharmaceuticals USA, Inc.","AZITHROMYCIN MONOHYDRATE 500mg/1","1513083","30","30","4.441","4.885","08/2025","","07/25/2024 2:21 PM"
"1101756986","Dr. Scholls","Ball of Foot Cushion","C7088","1","1","9.49","10.439","01/2025","","05/31/2021 8:43 AM"
"42806-0714-01","Epic Pharma LLC","BENZONATATE 100mg/1","1013093","400","300","0.041","0.045","10/2026","","07/11/2024 1:59 PM"
"58160-0976-20","GlaxoSmithKline Biologicals SA","Bexsero 50ug/.5mL; 50ug/.5mL; 50ug/.5mL; 25ug/.5mL","PX7E2","10","5","0","0","09/2026","Men B - Bexsero","01/11/2024 10:33 AM"
"58160-0842-52","GlaxoSmithKline Biologicals SA","BOOSTRIX 8ug/.5mL; 2.5ug/.5mL; 8ug/.5mL; 5[iU]/.5mL; 2.5[iU]/.5mL","BA7P9","10","7","0","0","07/2026","Tdap (for ages 10 yr and up)","07/25/2024 10:45 AM"
"58160-0842-52","GlaxoSmithKline Biologicals SA","BOOSTRIX 8ug/.5mL; 2.5ug/.5mL; 8ug/.5mL; 5[iU]/.5mL; 2.5[iU]/.5mL","CX4HL","10","10","49.273","54.2","11/2026","Adult Tdap","09/04/2024 3:13 PM"
"00591-3331-19","Actavis Pharma, Inc.","BUPROPION HYDROCHLORIDE XL 150mg/1","100050731","360","270","0.126","0.139","08/2025","","07/22/2024 2:37 PM"
"00591-3331-30","Actavis Pharma, Inc.","BUPROPION HYDROCHLORIDE XL 150mg/1","100056397","240","240","0.352","0.387","06/2026","Bupropion ER","08/19/2024 10:23 AM"
"60505-0157-01","Apotex Corp","BUPROPION HYDROCHLORIDE 100mg/1","VA4381","600","400","0.072","0.079","03/2026","buPROPion 100 mg THREE times daily","05/15/2024 10:39 AM"
"50228-0174-01","ScieGen Pharmaceuticals, Inc.","BUPROPION HYDROCHLORIDE 100mg/1","H174008","500","400","0.057","0.063","02/2026","buPROPion 100 mg TWO times daily","10/11/2023 11:51 AM"
"00591-3541-25","Actavis Pharma, Inc.","BUPROPION HYDROCHLORIDE 150mg/1","100042053","500","250","0.174","0.191","01/2025","bupropion 150 mg TWICE a day","02/09/2024 10:33 AM"
"00591-3541-25","Actavis Pharma, Inc.","BUPROPION HYDROCHLORIDE 150mg/1","100049081","250","250","0.134","0.147","04/2025","","08/08/2024 10:45 AM"
"42806-0416-09","Epic Pharma, LLC","BUPROPION HYDROCHLORIDE 300mg/1","2309203","180","90","0.246","0.271","08/2026","buPROPion 300 mg ONCE daily","03/13/2024 11:04 AM"
"70010-0785-09","Granules Pharmaceuticals Inc.","BUPROPION HYDROCHLORIDE 300mg/1","5150007A","360","360","0.128","0.141","12/2025","","06/27/2024 4:51 PM"
"43547-0290-10","Solco Healthcare US LLC","BUPROPION HYDROCHLORIDE 200mg/1","0000076065","200","200","0.288","0.317","07/2025","","06/14/2024 10:30 AM"
"29300-0245-01","Unichem Pharmaceuticals (USA), Inc.","BUSPIRONE HYDROCHLORIDE 10mg/1","GSPM23025","200","100","0.028","0.031","09/2025","","06/13/2024 10:33 AM"
"00093-1003-01","Teva Pharmaceuticals USA, Inc.","BUSPIRONE HYDROCHLORIDE 15mg/1","7620112","200","200","0.043","0.047","11/2024","","08/29/2023 11:32 AM"
"29300-0246-01","Unichem Pharmaceuticals (USA), Inc.","BUSPIRONE HYDROCHLORIDE 15mg/1","ZBUH23085","100","100","0.043","0.047","09/2025","","02/28/2024 11:50 AM"
"00093-5200-06","Teva Pharmaceuticals USA, Inc.","BUSPIRONE HYDROCHLORIDE 30mg/1","3824034","240","150","0.105","0.116","03/2026","","06/24/2024 10:07 AM"
"00093-0053-01","Teva Pharmaceuticals USA, Inc.","BUSPIRONE HYDROCHLORIDE 5mg/1","8356013","400","200","0.03","0.033","01/2025","","11/16/2023 10:06 AM"
"00093-0053-01","Teva Pharmaceuticals USA, Inc.","BUSPIRONE HYDROCHLORIDE 5mg/1","3093014","400","400","0.034","0.037","01/2026","","07/18/2024 10:49 AM"
"CNS1002BKMUS3","Cambivo","Cambivo Compression Knee Sleeve LARGE","X001UL5N7T","2","2","7.495","8.245","","","11/05/2021 9:42 AM"
"CNS1002BKMUS","Cambivo","Cambivo Compression Knee sleeve MEDIUM","X001UL5N7T","2","2","7.495","8.245","","","11/05/2021 9:39 AM"
"CNS1002BKMUS2","Cambivo","Cambivo Compression Knee Sleeve SMALL","X001UL5N7T","2","2","7.495","8.245","","","11/05/2021 9:41 AM"
"68382-0094-01","Zydus Pharmaceuticals USA Inc.","CARVEDILOL 12.5mg/1","Z304250","200","200","0.024","0.026","07/2025","","12/13/2023 10:33 AM"
"68382-0094-01","Zydus Pharmaceuticals USA Inc.","CARVEDILOL 12.5mg/1","Z304250","200","200","0.024","0.026","07/2025","","01/24/2024 2:03 PM"
"68382-0095-01","Zydus Pharmaceuticals USA Inc.","CARVEDILOL 25mg/1","Z303264","200","200","0.031","0.034","05/2025","","12/13/2023 10:32 AM"
"68382-0095-01","Zydus Pharmaceuticals USA Inc.","CARVEDILOL 25mg/1","Z303264","200","200","0.031","0.034","05/2025","","01/24/2024 2:05 PM"
"57237-0034-01","Rising Pharma Holdings, Inc.","CEFPROZIL 125mg/5mL - 100 mL in 1 BOTTLE (57237-034-01) ","UFZDG22060A","1","1","22.05","24.255","09/2024","","05/19/2023 10:11 AM"
"57237-0034-01","Rising Pharma Holdings, Inc.","CEFPROZIL 125mg/5mL - 100 mL in 1 BOTTLE (57237-034-01) ","UFZDG2301B","1","1","14.88","16.368","03/2025","","07/18/2024 11:01 AM"
"00409-7338-01","Hospira, Inc","CEFTRIAXONE SODIUM 500mg/1 - 10 VIAL, SINGLE-USE in 1 CARTON (0409-7338-01) / 1 INJECTION, POWDER, FOR SOLUTION in 1 VIAL, SINGLE-USE (0409-7338-11) ","NJ9662","10","8","1.385","1.524","10/2026","","02/14/2024 11:01 AM"
"42571-0143-01","Micro Labs Limited","CELECOXIB 100mg/1","BXBG046","400","200","0.069","0.076","06/2026","","07/10/2024 10:49 AM"
"42571-0144-01","Micro Labs Limited","CELECOXIB 200mg/1","BXCG142","100","40","0.134","0.147","04/2026","","07/03/2024 10:37 AM"
"00093-2238-01","Teva Pharmaceuticals USA, Inc.","CEPHALEXIN 250mg/1","100037543","100","100","0.923","1.015","12/2024","","12/01/2023 4:40 PM"
"67877-0220-01","Ascend Laboratories, LLC","CEPHALEXIN 250mg/1","23143295","100","100","0.052","0.057","07/2026","","03/11/2024 10:57 AM"
"67877-0219-01","Ascend Laboratories, LLC","CEPHALEXIN 500mg/1","23140726","100","11","0.192","0.211","02/2026","","02/06/2024 4:19 PM"
"67877-0219-01","Ascend Laboratories, LLC","CEPHALEXIN 500mg/1","23143443","100","100","0.192","0.211","08/2026","","06/27/2024 5:02 PM"
"737-04","Zimmer","Cervical Collar, Serpentine, Medium Density, Large","0397","1","1","0","0","01/2999","","08/16/2023 10:50 AM"
"51660-0939-90","Ohm Laboratories Inc.","CETIRIZINE HYDROCHLORIDE 10mg/1","AD03441","360","165","0.048","0.053","03/2025","","08/28/2024 10:33 AM"
"67877-0696-01","Ascend Laboratories, LLC","CHLORTHALIDONE 25mg/1","24120014","400","100","0.158","0.174","12/2025","","06/10/2024 12:11 PM"
"67877-0696-01","Ascend Laboratories, LLC","CHLORTHALIDONE 25mg/1","24120327","400","400","0.158","0.174","01/2026","","08/08/2024 11:10 AM"
"42192-0715-06","Acella Pharmaceuticals, LLC","CICLOPIROX 80mg/mL - 1 BOTTLE in 1 CARTON (42192-715-06) / 6.6 mL in 1 BOTTLE","3k09","4","2","18.76","20.636","01/2027","","06/10/2024 12:45 PM"
"16252-0514-01","Actavis Pharma, Inc.","CIPROFLOXACIN HYDROCHLORIDE 250mg/1","100034837","100","100","0.145","0.16","03/2026","","01/03/2024 10:59 AM"
"16252-0514-01","Actavis Pharma, Inc.","CIPROFLOXACIN HYDROCHLORIDE 250mg/1","100034837","100","100","0.145","0.16","03/2026","","03/13/2024 10:21 AM"
"58657-0676-01","Method Pharmaceuticals, LLC","CIPROFLOXACIN HYDROCHLORIDE 500mg/1","07796","100","76","0.177","0.195","02/2025","","09/21/2023 10:06 AM"
"58657-0676-01","Method Pharmaceuticals, LLC","CIPROFLOXACIN HYDROCHLORIDE 500mg/1","07796","100","100","0.157","0.173","02/2025","","03/13/2024 10:20 AM"
"13668-0009-01","Torrent Pharmaceuticals Limited","CITALOPRAM HYDROBROMIDE 10mg/1","4B55K013","300","70","0.022","0.024","07/2027","","04/03/2024 10:53 AM"
"13668-0010-01","Torrent Pharmaceuticals Limited","CITALOPRAM HYDROBROMIDE 20mg/1","4EC1K026","400","210","0.018","0.02","10/2027","","05/28/2024 11:52 AM"
"00378-6233-01","Mylan Pharmaceuticals Inc.","CITALOPRAM HYDROBROMIDE 40mg/1","3188879","300","100","0.062","0.068","07/2025","","02/13/2024 11:17 AM"
"00378-6233-01","Mylan Pharmaceuticals Inc.","CITALOPRAM HYDROBROMIDE 40mg/1","3196461","200","100","0.062","0.068","10/2025","","08/28/2024 10:23 AM"
"00378-6233-01","Mylan Pharmaceuticals Inc.","CITALOPRAM HYDROBROMIDE 40mg/1","3196187","100","100","0.062","0.068","10/2025","","05/20/2024 2:30 PM"
"3015-04","DeRoyal","Clavicle Strap, Large, Buckle Closure","43920472","3","3","0","0","01/2999","","08/16/2023 10:51 AM"
"3015-04","DeRoyal","Clavicle Strap, Large, Buckle Closure","32947776","1","1","0","0","12/2999","","09/20/2023 3:09 PM"
"3015-04","DeRoyal","Clavicle Strap, Large, Buckle Closure","45586578","1","1","0","0","12/2999","","09/20/2023 3:10 PM"
"3015-03","DeRoyal","Clavicle Strap, Medium, Buckle Closure","44555083","1","1","0","0","01/2999","","08/16/2023 10:48 AM"
"3015-03","DeRoyal","Clavicle Strap, Medium, Buckle Closure","38119681","1","1","0","0","01/2999","","08/16/2023 10:48 AM"
"3015-03","DeRoyal","Clavicle Strap, Medium, Buckle Closure","22110930","1","1","0","0","12/2999","","09/20/2023 3:08 PM"
"3015-02","DeRoyal","Clavicle Strap, Small, Buckle Closure","29360915","2","2","0","0","01/2999","","08/16/2023 10:47 AM"
"3015-02","DeRoyal","Clavicle Strap, Small, Buckle Closure","36968566","3","3","0","0","01/2999","","08/16/2023 10:47 AM"
"3015-02","DeRoyal","Clavicle Strap, Small, Buckle Closure","28059127","1","1","0","0","12/2999","","09/20/2023 3:07 PM"
"63304-0692-01","Sun Pharmaceutical Industries, Inc.","CLINDAMYCIN HYDROCHLORIDE 150mg/1","AD15834","100","100","0.097","0.107","07/2025","","03/13/2024 10:25 AM"
"51672-1258-02","Taro Pharmaceuticals U.S.A., Inc.","CLOBETASOL PROPIONATE 0.5mg/g - 1 TUBE in 1 CARTON (51672-1258-2) / 30 g in 1 TUBE","AD37694","2","2","9.44","10.384","01/2026","","08/28/2024 10:34 AM"
"51672-1293-02","Taro Pharmaceuticals U.S.A., Inc.","CLOBETASOL PROPIONATE 0.5mg/mL - 1 BOTTLE, PLASTIC in 1 CARTON (51672-1293-2) / 25 mL in 1 BOTTLE, PLASTIC","AD11549","3","1","15.36","16.896","05/2026","","10/30/2023 10:16 AM"
"51672-1293-02","Taro Pharmaceuticals U.S.A., Inc.","CLOBETASOL PROPIONATE 0.5mg/mL - 1 BOTTLE, PLASTIC in 1 CARTON (51672-1293-2) / 25 mL in 1 BOTTLE, PLASTIC","AD39423","3","3","9.29","10.219","02/2027","","04/23/2024 9:44 AM"
"65862-0357-90","Aurobindo Pharma Limited","CLOPIDOGREL BISULFATE 75mg/1","QR7523119A","180","180","0.068","0.075","08/2025","","03/15/2024 10:29 AM"
"100200","McKesson","Cloth Tape","104199425","24","13","0.986","1.085","12/2024","","05/17/2022 1:37 PM"
"51672-1275-02","Taro Pharmaceuticals U.S.A., Inc.","CLOTRIMAZOLE 10mg/g - 1 TUBE in 1 CARTON (51672-1275-2) / 30 g in 1 TUBE","AD29766","3","3","6.93","7.623","10/2025","","03/11/2024 10:46 AM"
"43598-0372-30","Dr.Reddys Laboratories, Inc.","COLCHICINE 0.6mg/1","F2400026","60","30","0.324","0.356","12/2026","","06/03/2024 4:56 PM"
"43598-0372-30","Dr.Reddys Laboratories, Inc.","COLCHICINE 0.6mg/1","H2300820","60","60","0.324","0.356","07/2026","","07/03/2024 10:45 AM"
"NC79572","DeRoyal","ComfortCool Wrist and Thumb CMC Splint, Left, Medium","000000","1","1","0","0","01/2999","","08/16/2023 9:43 AM"
"854480","Medical Developments International","Compact Space Chamber","US20240331","6","5","8.31","9.141","07/2026","","07/03/2024 10:42 AM"
"52817-0332-10","TruPharma LLC","CYCLOBENZAPRINE HYDROCHLORIDE 10mg/1","221665H2","300","3","0.032","0.035","11/2025","","08/08/2023 12:10 PM"
